id,type,breed,age,gender,size,description,name
65563351,Dog,Hound,Baby,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Brew
65563352,Dog,Terrier,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Dare
65563157,Dog,American Staffordshire Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Pound Cake
65563158,Dog,Husky,Baby,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Wannabe
65563159,Dog,American Bulldog,Adult,Male,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Big Show
65563161,Dog,Beagle,Baby,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Lambert
65563163,Dog,Australian Shepherd,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Gibbs
65563164,Dog,American Bulldog,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Lucy
65563165,Dog,Goldendoodle,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Sheriff
65563166,Dog,Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Little Boy
65563167,Dog,Spaniel,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Mazzie
65563168,Dog,American Bulldog,Adult,Female,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Olivia
65563169,Dog,Terrier,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Tarot
65563172,Dog,Bluetick Coonhound,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Journey
65563173,Dog,Cattle Dog,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Junie B
65563175,Dog,Husky,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Blue
65563177,Dog,American Bully,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Juno
65563178,Dog,Collie,Baby,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Reno
65563179,Dog,Plott Hound,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Rye
65563180,Dog,Boxer,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Brina
65563182,Dog,Rottweiler,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Wrecks
65563185,Dog,American Bulldog,Adult,Female,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Harriet
65563187,Dog,Bluetick Coonhound,Baby,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Etta
65563188,Dog,American Staffordshire Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Brick House
65563191,Dog,American Bully,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Apollo *
65563194,Dog,Terrier,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Cookie
65563195,Dog,Bichon Frise,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Crisco
65563196,Dog,Great Dane,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Guthrie
65563197,Dog,Poodle,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Natalie
65563198,Dog,Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Tripp
65563200,Dog,Standard Poodle,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Laverne
65563202,Dog,Beagle,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Huck
65563203,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Wapello
65563204,Dog,Boxer,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Ice Man
65563205,Dog,Boxer,Young,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Cherokee
65563207,Dog,Hound,Adult,Male,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Taki *
65563209,Dog,American Bulldog,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Tucci
65563210,Dog,Mixed Breed,Adult,Female,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Bry
65563211,Dog,Dogo Argentino,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interetsed in adopting any animal from PAW Animal Shelter Please, fillout an...",Crystobal
65563212,Dog,American Bulldog,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",BO
65563215,Dog,Bloodhound,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Duke
65563217,Dog,Boxer,Adult,Male,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,James Dean
65563219,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",&#34;The Beast&#34;
65563220,Dog,American Bulldog,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Zoey
65563221,Dog,American Bulldog,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Zuri
65563222,Dog,American Staffordshire Terrier,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Dump Truck
65563223,Dog,American Bulldog,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Ozzie
65563225,Dog,Husky,Adult,Female,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Arcadia
65563226,Dog,American Bully,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",McKasa
65563227,Dog,Beagle,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Rascal
65563228,Dog,Catahoula Leopard Dog,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Wrecking Ball
65563231,Dog,American Bully,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Hustle
65563232,Dog,Terrier,Young,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Shania
65563234,Dog,Australian Cattle Dog / Blue Heeler,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Wilson
65563237,Dog,American Staffordshire Terrier,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Roxie *
65563238,Dog,Akita,Adult,Female,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Cookie Dough
65563239,Dog,American Bulldog,Baby,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Ela
65563240,Dog,Mixed Breed,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Beckett
65563241,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Blue
65563242,Dog,Mountain Cur,Baby,Male,Small,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Dude
65563246,Dog,American Bully,Adult,Male,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Lennon
65563247,Dog,Shih Tzu,Senior,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Zepo
65563248,Dog,Labrador Retriever,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Axel
65563249,Dog,Dogo Argentino,Adult,Female,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Girls
65563250,Dog,Mixed Breed,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Hercules
65563251,Dog,Foxhound,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Jethro
65563252,Dog,American Staffordshire Terrier,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Keeva
65563254,Dog,Flat-Coated Retriever,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Fury
65563255,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interetsed in adopting any animal from PAW Animal Shelter Please, fillout an...",Handsome
65563256,Dog,Maltese,Adult,Female,Small,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Icee
65563257,Dog,Jack Russell Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",JR
65563259,Dog,Terrier,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Bullfrog
65563260,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Motown
65563261,Dog,Labrador Retriever,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Niko
65563262,Dog,Shepherd,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Amelia
65563263,Dog,American Staffordshire Terrier,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Brick
65563264,Dog,Catahoula Leopard Dog,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Charlotte
65563265,Dog,American Staffordshire Terrier,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Harrison
65563266,Dog,Poodle,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Muppet
65563267,Dog,Beagle,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Dorthea
65563268,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Toby
65563270,Dog,Havanese,Adult,Male,Medium,Though this face looks ever so sweet-Ollie is a BITER! He HATES a kennel and can be very reactive to...,Ollie
65563271,Dog,Miniature Pinscher,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Padro
65563272,Dog,American Bulldog,Adult,Male,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Riddle
65563274,Dog,Shepherd,Baby,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Speck
65563275,Dog,Husky,Baby,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Tetlin
65563276,Dog,Plott Hound,Adult,Male,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Toby
65563279,Dog,American Bulldog,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Hazel
65563280,Dog,Chihuahua,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Precious
65563281,Dog,Mixed Breed,Adult,Male,Medium,"Only Pet Home!

If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter...",Caliber
65563282,Dog,Terrier,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Channing
